User_Id,User_Point,IsDeleted,DeletedAt,DeletedBy,DeleteReason
-------,----------,---------,---------,---------,------------
10000001,60030,0,NULL,NULL,NULL
10000002,7431,0,NULL,NULL,NULL
10000003,93043,0,NULL,NULL,NULL
10000004,52743,0,NULL,NULL,NULL
10000005,37320,0,NULL,NULL,NULL
10000006,94418,0,NULL,NULL,NULL
10000007,34256,0,NULL,NULL,NULL
10000008,74876,0,NULL,NULL,NULL
10000009,64151,0,NULL,NULL,NULL
10000010,42681,0,NULL,NULL,NULL
10000011,1478,0,NULL,NULL,NULL
10000012,33505,0,NULL,NULL,NULL
10000013,55568,0,NULL,NULL,NULL
10000014,60615,0,NULL,NULL,NULL
10000015,64659,0,NULL,NULL,NULL
10000016,11282,0,NULL,NULL,NULL
10000017,45496,0,NULL,NULL,NULL
10000018,12190,0,NULL,NULL,NULL
10000019,15604,0,NULL,NULL,NULL
10000020,76856,0,NULL,NULL,NULL
10000021,1000,0,NULL,NULL,NULL
10000022,81013,0,NULL,NULL,NULL
10000023,40804,0,NULL,NULL,NULL
10000024,60902,0,NULL,NULL,NULL
10000025,79823,0,NULL,NULL,NULL
10000026,15729,0,NULL,NULL,NULL
10000027,39346,0,NULL,NULL,NULL
10000028,35756,0,NULL,NULL,NULL
10000029,46082,0,NULL,NULL,NULL
10000030,10479,0,NULL,NULL,NULL
10000031,93570,0,NULL,NULL,NULL
10000032,60426,0,NULL,NULL,NULL
10000033,100000,0,NULL,NULL,NULL
10000034,63043,0,NULL,NULL,NULL
10000035,18177,0,NULL,NULL,NULL
10000036,26769,0,NULL,NULL,NULL
10000037,94096,0,NULL,NULL,NULL
10000038,16468,0,NULL,NULL,NULL
10000039,70414,0,NULL,NULL,NULL
10000040,29518,0,NULL,NULL,NULL
10000041,38237,0,NULL,NULL,NULL
10000042,86128,0,NULL,NULL,NULL
10000043,69229,0,NULL,NULL,NULL
10000044,29549,0,NULL,NULL,NULL
10000045,92213,0,NULL,NULL,NULL
10000046,66184,0,NULL,NULL,NULL
10000047,48486,0,NULL,NULL,NULL
10000048,48150,0,NULL,NULL,NULL
10000049,30289,0,NULL,NULL,NULL
10000050,90980,0,NULL,NULL,NULL
10000051,67201,0,NULL,NULL,NULL
10000052,36025,0,NULL,NULL,NULL
10000053,76032,0,NULL,NULL,NULL
10000054,51680,0,NULL,NULL,NULL
10000055,10746,0,NULL,NULL,NULL
10000056,59510,0,NULL,NULL,NULL
10000057,11345,0,NULL,NULL,NULL
10000058,56017,0,NULL,NULL,NULL
10000059,7088,0,NULL,NULL,NULL
10000060,100000,0,NULL,NULL,NULL
10000061,46492,0,NULL,NULL,NULL
10000062,100000,0,NULL,NULL,NULL
10000063,100000,0,NULL,NULL,NULL
10000064,36296,0,NULL,NULL,NULL
10000065,26157,0,NULL,NULL,NULL
10000066,18719,0,NULL,NULL,NULL
10000067,75847,0,NULL,NULL,NULL
10000068,46485,0,NULL,NULL,NULL
10000069,30080,0,NULL,NULL,NULL
10000070,13506,0,NULL,NULL,NULL
10000071,22299,0,NULL,NULL,NULL
10000072,14817,0,NULL,NULL,NULL
10000073,97056,0,NULL,NULL,NULL
10000074,43295,0,NULL,NULL,NULL
10000075,20620,0,NULL,NULL,NULL
10000076,55098,0,NULL,NULL,NULL
10000077,66347,0,NULL,NULL,NULL
10000078,36531,0,NULL,NULL,NULL
10000079,3845,0,NULL,NULL,NULL
10000080,79534,0,NULL,NULL,NULL
10000081,100000,0,NULL,NULL,NULL
10000082,67577,0,NULL,NULL,NULL
10000083,17471,0,NULL,NULL,NULL
10000084,17051,0,NULL,NULL,NULL
10000085,32811,0,NULL,NULL,NULL
10000086,55659,0,NULL,NULL,NULL
10000087,58677,0,NULL,NULL,NULL
10000088,58906,0,NULL,NULL,NULL
10000089,35513,0,NULL,NULL,NULL
10000090,99857,0,NULL,NULL,NULL
10000091,40224,0,NULL,NULL,NULL
10000092,26921,0,NULL,NULL,NULL
10000093,67166,0,NULL,NULL,NULL
10000094,53710,0,NULL,NULL,NULL
10000095,63090,0,NULL,NULL,NULL
10000096,30561,0,NULL,NULL,NULL
10000097,44621,0,NULL,NULL,NULL
10000098,26999,0,NULL,NULL,NULL
10000099,62595,0,NULL,NULL,NULL
10000100,15373,0,NULL,NULL,NULL
10000101,65637,0,NULL,NULL,NULL
10000102,46391,0,NULL,NULL,NULL
10000103,1000,0,NULL,NULL,NULL
10000104,41476,0,NULL,NULL,NULL
10000105,52903,0,NULL,NULL,NULL
10000106,87123,0,NULL,NULL,NULL
10000107,34069,0,NULL,NULL,NULL
10000108,78148,0,NULL,NULL,NULL
10000109,62874,0,NULL,NULL,NULL
10000110,47361,0,NULL,NULL,NULL
10000111,40977,0,NULL,NULL,NULL
10000112,86880,0,NULL,NULL,NULL
10000113,38634,0,NULL,NULL,NULL
10000114,45984,0,NULL,NULL,NULL
10000115,43725,0,NULL,NULL,NULL
10000116,62171,0,NULL,NULL,NULL
10000117,53975,0,NULL,NULL,NULL
10000118,35385,0,NULL,NULL,NULL
10000119,44642,0,NULL,NULL,NULL
10000120,12975,0,NULL,NULL,NULL
10000121,84353,0,NULL,NULL,NULL
10000122,30454,0,NULL,NULL,NULL
10000123,58812,0,NULL,NULL,NULL
10000124,78320,0,NULL,NULL,NULL
10000125,67315,0,NULL,NULL,NULL
10000126,57482,0,NULL,NULL,NULL
10000127,45436,0,NULL,NULL,NULL
10000128,68766,0,NULL,NULL,NULL
10000129,56114,0,NULL,NULL,NULL
10000130,41128,0,NULL,NULL,NULL
10000131,43533,0,NULL,NULL,NULL
10000132,100000,0,NULL,NULL,NULL
10000133,47782,0,NULL,NULL,NULL
10000134,72737,0,NULL,NULL,NULL
10000135,58924,0,NULL,NULL,NULL
10000136,29067,0,NULL,NULL,NULL
10000137,62181,0,NULL,NULL,NULL
10000138,65200,0,NULL,NULL,NULL
10000139,56753,0,NULL,NULL,NULL
10000140,54613,0,NULL,NULL,NULL
10000141,100000,0,NULL,NULL,NULL
10000142,23493,0,NULL,NULL,NULL
10000143,46460,0,NULL,NULL,NULL
10000144,59284,0,NULL,NULL,NULL
10000145,44309,0,NULL,NULL,NULL
10000146,48082,0,NULL,NULL,NULL
10000147,12714,0,NULL,NULL,NULL
10000148,65764,0,NULL,NULL,NULL
10000149,64597,0,NULL,NULL,NULL
10000150,55522,0,NULL,NULL,NULL
10000151,18533,0,NULL,NULL,NULL
10000152,62863,0,NULL,NULL,NULL
10000153,50460,0,NULL,NULL,NULL
10000154,71032,0,NULL,NULL,NULL
10000155,60268,0,NULL,NULL,NULL
10000156,66219,0,NULL,NULL,NULL
10000157,58253,0,NULL,NULL,NULL
10000158,35735,0,NULL,NULL,NULL
10000159,95519,0,NULL,NULL,NULL
10000160,33604,0,NULL,NULL,NULL
10000161,83149,0,NULL,NULL,NULL
10000162,50112,0,NULL,NULL,NULL
10000163,35400,0,NULL,NULL,NULL
10000164,72290,0,NULL,NULL,NULL
10000165,56237,0,NULL,NULL,NULL
10000166,70815,0,NULL,NULL,NULL
10000167,34917,0,NULL,NULL,NULL
10000168,70271,0,NULL,NULL,NULL
10000169,13527,0,NULL,NULL,NULL
10000170,80822,0,NULL,NULL,NULL
10000171,48544,0,NULL,NULL,NULL
10000172,55285,0,NULL,NULL,NULL
10000173,37585,0,NULL,NULL,NULL
10000174,78631,0,NULL,NULL,NULL
10000175,1000,0,NULL,NULL,NULL
10000176,24990,0,NULL,NULL,NULL
10000177,64425,0,NULL,NULL,NULL
10000178,34503,0,NULL,NULL,NULL
10000179,53765,0,NULL,NULL,NULL
10000180,35374,0,NULL,NULL,NULL
10000181,44782,0,NULL,NULL,NULL
10000182,97685,0,NULL,NULL,NULL
10000183,46420,0,NULL,NULL,NULL
10000184,16607,0,NULL,NULL,NULL
10000185,48135,0,NULL,NULL,NULL
10000186,62180,0,NULL,NULL,NULL
10000187,88650,0,NULL,NULL,NULL
10000188,46353,0,NULL,NULL,NULL
10000189,12975,0,NULL,NULL,NULL
10000190,32126,0,NULL,NULL,NULL
10000191,33014,0,NULL,NULL,NULL
10000192,45965,0,NULL,NULL,NULL
10000193,16913,0,NULL,NULL,NULL
10000194,56459,0,NULL,NULL,NULL
10000195,48045,0,NULL,NULL,NULL
10000196,17640,0,NULL,NULL,NULL
10000197,31244,0,NULL,NULL,NULL
10000198,87980,0,NULL,NULL,NULL
10000199,32387,0,NULL,NULL,NULL
10000200,55683,0,NULL,NULL,NULL

(200 個受影響的資料列)
